Province,LOCAL AUTHORITY,DISTRICT,CONSTITUENCY,WARD NO.,POLLING STATIONS,FACILITY,"DabengwaDumiso ZAPU","Mugabe RobertGabriel ZANU PF","MukwazheMunodei KisinotiZDP","NcubeWelshman MDC","Tsvangirayi MorganMDC-T","Total VotesRejected","Ballot PaperUnaccounted for",Total Votes Cast,"TotalValidVotesCast"
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,1,Chikwalakwala Pry School,School,4,99,2,9,22,13,0,149,136
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,1,Chipise Pry School,School,2,118,1,5,18,30,0,174,144
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,1,Chitulipasi Pry School,School,3,296,2,4,35,10,0,350,340
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,1,Lungowe Pry School,School,0,180,5,3,20,12,0,220,208
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,1,Malabe Pry School,School,1,168,0,3,6,2,0,180,178
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Chabili Pry School,School,7,332,1,6,9,1,0,356,355
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Chapongwe Pry School,School,0,52,0,1,10,0,0,63,63
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Dite Pry School,School,6,267,2,2,17,9,0,303,294
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Lukange Pry School,School,1,184,2,3,14,3,0,207,204
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Lukumbwe Dip Tank,Tent,1,77,0,1,5,2,0,86,84
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,2,Panda Mine,Tent,1,27,0,3,2,1,0,34,33
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,3,Chaswingo Pry School,School,8,482,5,11,35,28,0,569,541
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,3,Fula Pry School,School,2,171,0,5,24,3,0,205,202
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,3,Madaulo Pry School,School,2,488,5,10,24,22,0,551,529
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,3,Makombe Pry School,School,0,333,2,1,6,25,0,367,342
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,3,Mandate Pry School,School,1,136,1,1,1,5,0,145,140
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,5,Chamnanga Pry School,School,4,250,3,21,105,9,0,392,383
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,5,Chapfuche Pry School,School,12,284,1,6,40,17,0,360,343
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,5,Elangeni Pry School,School,8,302,4,16,97,10,0,437,427
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,5,Lutumba Pry School,School,14,474,9,22,113,29,0,661,632
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,6,"Auridium Mine/BubyeMinerals",School,0,40,0,2,15,2,0,59,57
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,6,Makakavhule Pry School,School,12,321,4,12,108,8,0,465,457
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,6,Malala Pry School,School,8,445,6,18,68,15,0,560,545
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,6,Mtetengwe Pry School,School,4,253,2,6,25,1,0,291,290
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,6,Umzingwane Pry School,School,1,286,0,4,11,8,0,310,302
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,13,"Bubi Village (Tshomwazi)Pry School",School,5,111,0,3,18,3,0,140,137
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,13,Joko Pry School,School,0,159,1,0,2,3,0,165,162
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,13,"Kayansee (Matizwi) PrySchool",School,1,134,0,0,1,3,0,139,136
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,13,Lesanth Pry School,School,3,252,1,1,10,4,0,271,267
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,15,Dumba Pry School,School,7,220,3,6,23,10,0,269,259
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,15,Mapai Pry School,School,1,66,1,13,57,7,0,145,138
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,15,Old Nuli School,School,2,140,0,4,26,6,0,178,172
Mat South,Beitbridge RDC,Beitbridge,Beitbridge East,15,Nuli Pry School,School,2,213,1,7,38,15,0,276,261
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,1,"Old Customs BuildingCommon Room",Office,7,515,0,23,431,15,0,991,976
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,2,Beitbridge Govt. Pry School,School,1,257,0,10,409,6,0,683,677
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,3,"St Joseph's Catholic PrySchool",School,0,421,0,10,324,17,0,772,755
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,4,"Beitbridge Mission PrySchool",School,12,868,0,47,689,39,0,1655,1616
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,5,Vhembe Sec School,School,11,523,2,38,615,8,0,1197,1189
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge  Town,Beitbridge,Beitbridge East,6,"Beitbridge RedevelopmentArea",Tent,6,581,2,26,511,13,0,1139,1126
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Jopembe Pry School,School,3,90,0,0,27,6,0,126,120
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Manazwe Area,Tent,0,60,1,0,16,1,0,78,77
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Matshiloni Pry School,School,5,167,2,13,54,10,0,251,241
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Mgaladivha Pry School,School,5,211,2,7,20,12,0,257,245
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Penemene Pry School,School,2,189,1,3,10,12,0,217,205
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,4,Tongwe Pry School,School,10,274,3,27,105,33,0,452,419
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,7,Mtsilashokwe Pry School,School,3,132,0,7,49,5,0,196,191
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,7,Ndambe Pry School,School,10,245,5,15,39,11,0,325,314
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,7,Number 7 Area,Tent,2,122,0,0,15,3,0,142,139
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,8,Jalukange Pry School,School,0,77,3,3,20,0,0,103,103
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,8,Limpopo Pry School,School,2,121,3,4,53,2,0,185,183
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,8,Shashe Number 12,Tent,4,78,1,16,40,7,0,146,139
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,8,Shashe Pry School,School,3,171,4,13,57,5,0,253,248
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,8,Shashe Number 15,Tent,2,122,1,10,20,6,0,161,155
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Bili Irrigation,Tent,0,9,0,4,35,1,0,49,48
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Malibeng Pry School,School,5,106,3,10,86,6,0,216,210
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Old Machuchuta,Tent,1,36,1,8,69,4,0,119,115
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Swereki Pry School,School,6,192,3,13,197,4,0,415,411
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Toporo Pry School,School,5,144,6,6,139,6,0,306,300
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,9,Tuli Camp,Tent,2,15,1,0,17,1,0,36,35
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Dendele Pry School,School,3,154,2,16,55,5,0,235,230
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Dombolidenje Bus. Centre,Tent,4,152,1,10,36,5,0,208,203
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Madali Pry School,School,1,206,3,5,30,5,0,250,245
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Novhe Area,Tent,8,117,0,4,10,4,0,143,139
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Vuturura Pry School,School,1,80,1,2,21,4,0,109,105
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Whunga Pry School,School,2,196,2,9,119,37,0,365,328
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,10,Zezani Sec School,School,1,81,0,3,48,3,0,136,133
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Bgemula Pry School,School,1,126,1,7,35,2,0,172,170
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Chabeta Pry School,School,2,51,3,1,25,6,0,88,82
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Mabhavhule Bus. Centre,Tent,3,151,3,6,16,6,0,185,179
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Chamnangana Pry School,School,5,261,1,6,40,24,0,337,313
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Malusungane Pry School,School,5,193,4,13,27,4,0,246,242
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Msane Pry School,School,6,174,2,10,43,9,0,244,235
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Zezani Rest Camp,Tent,2,106,1,10,50,5,0,174,169
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,11,Kwalu Irrigation,Tent,6,99,2,6,29,11,0,153,142
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,12,Madzivhe Pry School,School,3,156,1,13,139,21,0,333,312
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,12,Majini Pry School,School,13,238,7,19,89,21,0,387,366
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,12,Mapili Pry School,School,0,251,1,6,27,17,0,302,285
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,12,Mpande Pry School,School,8,188,1,10,43,13,0,263,250
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,12,Mtangamchena Pry School,School,7,192,4,6,36,9,0,254,245
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Bishopstone Estate,Tent,2,91,0,4,17,1,0,115,114
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Luhwade Pry School,School,5,136,2,8,88,8,0,247,239
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Mazunga Ranch Headquarters,Tent,2,94,0,2,19,3,0,120,117
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Mudzwiti Pry School,School,3,153,2,0,6,4,0,168,164
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Nottingham Pry School,School,2,179,3,4,45,4,0,237,233
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Towla Pry School,School,3,76,1,5,46,8,0,139,131
Mat South,Beitbridge RDC,Beitbridge,Beitbridge West,14,Tshiwonzeni Pry School,Tent,1,37,0,0,1,3,0,42,39
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,1,Sheila Farm,Tent,0,70,1,8,92,6,0,177,171
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,1,Nyabane Pry School,School,8,210,3,16,134,8,0,379,371
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,1,Sikhathini Sec. School,School,2,89,3,16,151,1,0,262,261
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,1,"Sikhathini Clinic/ VambaBus. Centre",Tent,4,58,6,16,146,10,0,240,230
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,2,Tshongule Pre School,School,3,30,1,18,47,0,0,99,99
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,2,Baladza Pry School,School,2,65,1,24,43,7,0,142,135
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,2,Gwambe Pry School,School,2,67,5,16,59,2,0,151,149
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,2,Diba Pry School,School,4,78,3,19,96,9,0,209,200
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,2,Kandane Pry School,School,1,39,0,5,59,2,0,106,104
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,3,Bezu Pry School,School,6,162,6,30,120,7,0,331,324
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,3,Mlomwe Pry School,School,3,72,5,11,117,1,0,209,208
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,3,Ntunungwe Pry School,School,8,161,6,42,43,7,0,267,260
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,3,Phumuza Pry School,School,6,85,0,18,61,3,0,173,170
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Goba Pre School,Tent,5,40,3,6,120,4,0,178,174
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Mapango Bus. Centre,Tent,2,56,1,10,57,4,0,130,126
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Maqhekeni Sec School,School,3,75,3,7,112,2,0,202,200
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Matjinge Sec. School,School,6,77,6,16,157,6,0,268,262
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Ngwana Pry School,School,2,36,2,12,133,2,0,187,185
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,5,Sinotsi Pry School,School,0,53,3,9,113,4,0,182,178
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,6,Kungubo Pry School,School,3,128,0,6,22,1,0,160,159
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,6,Gala Pry School,School,1,135,1,3,51,12,0,203,191
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,6,Mangubo Pry School,School,1,127,3,7,101,4,0,243,239
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,6,Ntoli Pry School,School,3,134,2,19,100,7,0,265,258
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,8,Huwana Pry School,School,9,111,4,15,78,9,0,226,217
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,8,Malambuka Clinic,Clinic,2,50,0,6,60,5,0,123,118
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,8,Ndutshwa Pry School,School,8,67,2,9,34,1,0,121,120
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,8,Ntambana Pre School,Tent,2,13,2,8,76,3,0,104,101
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,17,Norwood Bus. Centre,Tent,0,62,0,4,36,1,0,103,102
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,18,Balule Pry School,School,1,39,0,13,7,1,0,61,60
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,18,Mayembe Pry School,School,1,42,2,10,14,0,0,69,69
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,18,Somnene Farmer's Hall,HALL,1,43,0,17,27,4,0,92,88
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Entanjeneni Pry School,School,1,143,0,4,59,28,0,235,207
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Fairveiw Farm,Tent,3,201,1,2,22,6,0,235,229
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,"Peace and GoodHope PrySchool",School,2,231,1,5,48,8,0,295,287
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Manda Farm,Tent,4,86,0,0,11,6,0,107,101
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Watershed Farm,Tent,0,70,0,2,8,1,0,81,80
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Masotsha Pry School,School,5,154,0,9,84,10,0,262,252
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Solusi High School,School,0,23,0,3,36,2,0,64,62
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,19,Usher High School,School,1,25,0,0,30,0,0,56,56
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,21,"Thekwane Mission SecSchool",School,2,30,0,9,49,2,0,92,90
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,21,Ndiweni Clinic,Tent,1,78,2,10,58,9,0,158,149
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,21,Bhangani Bus. Centre,Tent,3,103,0,17,87,3,0,213,210
Mat South,Bulilima  R.D.C,Bulilima,Bulilima East,21,Thekwane Pre School,School,1,28,1,11,38,1,0,80,79
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
